director,release_year,movie_id,title,weighted_rating
Vincent Ward,1998,12159,What Dreams May Come,6.358776092529297
Peter Webber,2007,1248,Hannibal Rising,6.055474281311035
Peter Webber,2003,3635,Girl with a Pearl Earring,6.179850101470947
Charles S. Dutton,2004,8842,Against the Ropes,6.04185676574707
Martyn Pick,2010,52010,"Ultramarines: A Warhammer 40,000 Movie",6.068843841552734
Jeremy Saulnier,2016,313922,Green Room,6.345664024353027
Jeremy Saulnier,2014,188166,Blue Ruin,6.355580806732178
Gary McKendry,2011,49021,Killer Elite,6.096118450164795
George P. Cosmatos,1997,38153,Shadow Conspiracy,6.0695672035217285
George P. Cosmatos,1993,11969,Tombstone,6.6093878746032715
George P. Cosmatos,1985,1369,Rambo: First Blood Part II,6.191267013549805
Hideaki Anno,2016,315011,Shin Godzilla,6.146080017089844
Wil Shriner,2006,18276,Hoot,6.0672783851623535
Sam Weisman,2003,13778,Dickie Roberts: Former Child Star,6.031163215637207
Sam Weisman,2001,14034,What's the Worst That Could Happen?,6.029346466064453
Sam Weisman,1999,8970,The Out-of-Towners,6.044302940368652
Sam Weisman,1997,10603,George of the Jungle,5.856962203979492
Bob Clark,2004,31117,Superbabies: Baby Geniuses 2,5.945653915405273
Bob Clark,1999,22345,Baby Geniuses,5.8906965255737305
Bob Clark,1983,850,A Christmas Story,6.438281059265137
Bob Clark,1981,10246,Porky's,6.094378471374512
Anton Corbijn,2014,157849,A Most Wanted Man,6.239986896514893
Anton Corbijn,2010,27579,The American,5.995333194732666
Anton Corbijn,2007,5708,Control,6.336048126220703
Lance Kawas,2010,170480,The Deported,6.093305587768555
Vadim Perelman,2007,13079,The Life Before Her Eyes,6.093868255615234
Vadim Perelman,2003,11093,House of Sand and Fog,6.249119281768799
Timothy Hines,2015,345003,10 Days in a Madhouse,6.084003925323486
Rodrigo Cortés,2012,75638,Red Lights,6.067026138305664
Rodrigo Cortés,2010,26388,Buried,6.32792854309082
Matt Cimber,1982,34697,Butterfly,6.079793930053711
Sean McNamara,2011,43959,Soul Surfer,6.305365085601807
Sean McNamara,2004,14024,Raise Your Voice,6.076478481292725
Kevin Smith,2016,290825,Yoga Hosers,5.959359169006348
Kevin Smith,2014,246403,Tusk,5.818928241729736
Kevin Smith,2011,48572,Red State,6.045395851135254
Kevin Smith,2010,23742,Cop Out,5.817537307739258
Kevin Smith,2008,10358,Zack and Miri Make a Porno,6.0961785316467285
Kevin Smith,2006,2295,Clerks II,6.329904079437256
Kevin Smith,2004,9541,Jersey Girl,6.0190653800964355
Kevin Smith,2001,2294,Jay and Silent Bob Strike Back,6.195608139038086
Kevin Smith,1999,1832,Dogma,6.4196858406066895
Kevin Smith,1997,2255,Chasing Amy,6.2820258140563965
Kevin Smith,1995,2293,Mallrats,6.298357009887695
Kevin Smith,1994,2292,Clerks,6.668891429901123
Ruairi Robinson,2013,190847,The Last Days on Mars,5.87936544418335
