movie_id,budget,director,genres,main_cast,original_language,popularity,release_date,release_year,revenue,runtime,status,title,vote_average,vote_count,weighted_rating
2621,24000000,Bonnie Hunt,"['Romance', 'Comedy', 'Drama']","['David Duchovny', 'Minnie Driver', ""Carroll O'Connor"", 'Robert Loggia', 'Jim Belushi']",en,5.77147912979126,2000-04-07,2000,36609995,115.0,Released,Return to Me,6.099999904632568,67,6.093742847442627
72431,58000000,Anthony Hemingway,"['Drama', 'Action', 'Adventure', 'History', 'War']","['Bryan Cranston', 'David Oyelowo', 'Cuba Gooding Jr.', 'Daniela Ruah', 'Terrence Howard']",en,12.296030044555664,2012-01-19,2012,50365377,125.0,Released,Red Tails,5.900000095367432,178,6.063043117523193
9366,35000000,Mike Newell,"['Crime', 'Drama', 'Thriller']","['Johnny Depp', 'Al Pacino', 'Michael Madsen', 'Bruno Kirby', 'James Russo']",en,40.37044143676758,1997-02-27,1997,41954997,127.0,Released,Donnie Brasco,7.400000095367432,1147,6.804976463317871
9548,49000000,Renny Harlin,"['Action', 'Comedy', 'Thriller', 'Crime', 'Mystery']","['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Morris Day', 'Lauren Holly']",en,2.8084280490875244,1990-07-11,1990,20423389,104.0,Released,The Adventures of Ford Fairlane,6.199999809265137,71,6.10066032409668
168672,40000000,David O. Russell,"['Drama', 'Crime']","['Christian Bale', 'Bradley Cooper', 'Amy Adams', 'Jeremy Renner', 'Jennifer Lawrence']",en,49.664127349853516,2013-12-12,2013,251171807,138.0,Released,American Hustle,6.800000190734863,2807,6.620042324066162
29595,,Robert Greenwald,['Documentary'],"['Lee Scott', 'Don Hunter', 'Jon Hunter', 'Jeremy Hunter', 'Matt Hunter']",en,1.404175043106079,2005-11-04,2005,,98.0,Released,Wal-Mart: The High Cost of Low Price,6.900000095367432,24,6.113000869750977
61984,12000000,Takashi Yamazaki,['Science Fiction'],"['Hiroyuki Ikeuchi', 'Takuya Kimura', 'Meisa Kuroki', 'Toshirō Yanagiba', 'Tsutomu Yamazaki']",ja,5.158067226409912,2010-12-01,2010,11212294,131.0,Released,Space Battleship Yamato,6.300000190734863,59,6.105284690856934
11935,5000000,Peter Hyams,"['Drama', 'Action', 'Thriller', 'Science Fiction']","['Elliott Gould', 'James Brolin', 'Brenda Vaccaro', 'Sam Waterston', 'O.J. Simpson']",en,11.095218658447266,1977-12-10,1977,,123.0,Released,Capricorn One,6.400000095367432,131,6.130165100097656
3989,32000000,Trey Parker,"['Music', 'Adventure', 'Animation', 'Action', 'Comedy']","['Trey Parker', 'Matt Stone', 'Kristen Miller', 'Masasa Moyo', 'Daran Norris']",en,26.509174346923828,2004-10-10,2004,50907422,98.0,Released,Team America: World Police,6.599999904632568,660,6.299864292144775
9833,70000000,Joel Schumacher,"['Thriller', 'Drama', 'Romance']","['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver']",en,18.92746353149414,2004-12-08,2004,154648887,143.0,Released,The Phantom of the Opera,7.0,438,6.377580642700195
