release_year,popularity,movie_id,title
1999,5.700333118438721,9781,Detroit Rock City
1999,5.69649076461792,16172,Simply Irresistible
1999,5.581742763519287,25636,Jesus' Son
1999,5.5662031173706055,20761,Play It to the Bone
1999,5.5376458168029785,16158,The Wood
1999,5.516207218170166,22267,Ride with the Devil
1999,5.27155876159668,31582,Flawless
1999,5.259584903717041,10350,Wing Commander
1999,4.901553153991699,32274,Cradle Will Rock
1999,4.887939929962158,10397,Angela's Ashes
1999,4.859872817993164,11129,Human Traffic
1999,4.842626094818115,8970,The Out-of-Towners
1999,4.826908111572266,20770,But I'm a Cheerleader
1999,4.781538009643555,7341,The Rage: Carrie 2
1999,4.746085166931152,30943,The Deep End of the Ocean
1999,4.742537021636963,16406,Dick
1999,4.580080986022949,22345,Baby Geniuses
1999,4.5195231437683105,24137,An Ideal Husband
1999,4.4827141761779785,14429,Drive Me Crazy
1999,4.436791896820068,15198,"Mystery, Alaska"
1999,4.3376851081848145,18892,Jawbreaker
1999,4.3101677894592285,24071,Mumford
1999,4.302940845489502,18681,Eye of the Beholder
1999,4.137237071990967,12618,Random Hearts
1999,4.0681071281433105,9455,The Corruptor
1999,4.0470099449157715,13824,Superstar
1999,3.9510409832000732,16162,The Best Man
1999,3.707890033721924,10279,Summer of Sam
1999,3.667371988296509,10557,East Is East
1999,3.5611979961395264,15256,200 Cigarettes
1999,3.3478848934173584,15122,Love Stinks
1999,3.322721004486084,10643,Godzilla 2000
1999,3.276911973953247,2162,Chill Factor
1999,3.226243019104004,28902,In Dreams
1999,3.09158992767334,16112,The Adventures of Elmo in Grouchland
1999,2.866934061050415,15059,The Loss of Sexual Innocence
1999,2.857935905456543,37718,The Muse
1999,2.832628011703491,2211,Aimee & Jaguar
1999,2.794830083847046,10219,Snow Falling on Cedars
1999,2.7786331176757812,14271,Beyond the Mat
1999,2.7721779346466064,22314,In Too Deep
1999,2.6958959102630615,12479,Breakfast of Champions
1999,2.636193037033081,44857,Molly
1999,2.627232074737549,14578,Outside Providence
1999,2.2386460304260254,10368,Tea with Mussolini
1999,2.079124927520752,24066,"Happy, Texas"
1999,1.8848400115966797,16508,Doug's 1st Movie
1999,1.5694489479064941,19489,Held Up
1999,1.5378589630126953,10496,Bats
1999,1.5057029724121094,55123,Tumbleweeds
1999,1.3919579982757568,22908,A Room for Romeo Brass
1999,1.288172960281372,29064,The Omega Code
1999,1.2129559516906738,19052,Light It Up
1999,1.1162060499191284,41730,Desert Blue
1999,0.9648020267486572,224569,Taxman
1999,0.9105290174484253,69848,One Man's Hero
1999,0.8389379978179932,104896,A Dog Of Flanders
1999,0.7960090041160583,27455,Foolish
1999,0.6199790239334106,28666,The Woman Chaser
1999,0.6191359758377075,33430,Twin Falls Idaho
1999,0.5787979960441589,302579,Naturally Native
1999,0.5476539731025696,219716,Sparkler
1999,0.5023959875106812,20468,The Big Tease
1999,0.470645010471344,47692,Felicia's Journey
1999,0.431331992149353,100975,Just Looking
1999,0.40908899903297424,133575,The Velocity of Gary
1999,0.37542301416397095,142132,Sugar Town
1999,0.34001898765563965,46727,Speedway Junky
1999,0.185372993350029,53862,Trippin'
1999,0.11614999920129776,108346,Dreaming of Joseph Lees
1999,0.034258998930454254,62676,Limbo
1999,0.015596999786794186,89540,The Other Conquest
1999,0.007340000011026859,125537,Smiling Fish & Goat On Fire
1971,34.63418197631836,681,Diamonds Are Forever
1971,23.98160171508789,252,Willy Wonka & the Chocolate Factory
1971,18.30961036682129,1687,Escape from the Planet of the Apes
1971,15.97813606262207,1051,The French Connection
1971,12.52495288848877,10514,The Andromeda Strain
1971,7.623979091644287,14811,Fiddler on the Roof
1971,5.94185209274292,11302,Bananas
1971,0.13287800550460815,5822,Sweet Sweetback's Baadasssss Song
1971,0.07400500029325485,72086,The Night Visitor
1971,0.027811000123620033,42497,Pink Narcissus
1953,9.90399169921875,19997,Niagara
1953,6.915201187133789,11426,From Here to Eternity
1953,4.02887487411499,29912,The Robe
1953,2.043661117553711,35073,"The Beast from 20,000 Fathoms"
1976,72.19808197021484,1366,Rocky
1976,58.84502410888672,103,Taxi Driver
1976,25.93938446044922,794,The Omen
1976,17.234745025634766,10774,Network
1976,12.268142700195312,10803,Logan's Run
1976,7.315935134887695,10970,Silent Movie
1976,6.8896331787109375,23479,The Bad News Bears
1976,3.832858085632324,5854,Family Plot
1976,3.199903964996338,10786,Robin and Marian
1982,94.0561294555664,78,Blade Runner
1982,63.071044921875,1368,First Blood
1982,56.105796813964844,601,E.T. the Extra-Terrestrial
1982,52.731380462646484,1091,The Thing
1982,36.23020553588867,609,Poltergeist
1982,35.227210998535156,783,Gandhi
1982,31.802806854248047,9387,Conan the Barbarian
1982,22.434101104736328,154,Star Trek II: The Wrath of Khan
1982,20.818567276000977,9576,Tootsie
1982,20.403343200683594,13342,Fast Times at Ridgemont High
1982,14.206524848937988,9728,Friday the 13th Part III
1982,13.66128921508789,16281,Creepshow
1982,12.030455589294434,10676,Halloween III: Season of the Witch
1982,8.700565338134766,10724,Firefox
1982,7.9806318283081055,24226,The Verdict
1982,6.377522945404053,16441,The Beastmaster
1982,5.871930122375488,13776,Diner
1982,5.6987199783325195,6217,Cat People
1982,5.6430230140686035,11564,Class of 1984
1982,4.189377784729004,16363,The Best Little Whorehouse in Texas
