actor_name,movie_id,release_year,title
Paul Dooley,38717,2001,Madison
Oona Laurence,294272,2016,Pete's Dragon
Oona Laurence,307081,2015,Southpaw
Gabrielle Union,1588,2000,Bring It On
Gabrielle Union,8961,2003,Bad Boys II
Gabrielle Union,11260,2008,Meet Dave
Gabrielle Union,14299,2008,Cadillac Records
Gabrielle Union,16428,2004,Breakin' All the Rules
Gabrielle Union,25462,2001,Two Can Play That Game
Gabrielle Union,62008,2012,Good Deeds
Gabrielle Union,284296,2014,Top Five
Sara Foster,540,2004,D.E.B.S.
Sara Foster,12634,2004,The Big Bounce
Nicholas Rowe,11904,1985,Young Sherlock Holmes
Maureen O'Hara,43266,1941,How Green Was My Valley
Nthabiseng Kenoshi,15907,2005,Duma
Len Cariou,1586,2004,Secret Window
Len Cariou,25113,1981,The Four Seasons
Len Cariou,49365,1988,Lady in White
Park Joong-hoon,33196,2009,Tidal Wave
Milla Jovovich,18,1997,The Fifth Element
Milla Jovovich,1576,2002,Resident Evil
Milla Jovovich,1577,2004,Resident Evil: Apocalypse
Milla Jovovich,7737,2007,Resident Evil: Extinction
Milla Jovovich,9398,2001,Zoolander
Milla Jovovich,9469,1998,He Got Game
Milla Jovovich,9920,2006,Ultraviolet
Milla Jovovich,10047,1999,The Messenger: The Story of Joan of Arc
Milla Jovovich,12403,2009,A Perfect Getaway
Milla Jovovich,13888,1991,Return to the Blue Lagoon
Milla Jovovich,22824,2009,The Fourth Kind
Milla Jovovich,35791,2010,Resident Evil: Afterlife
Milla Jovovich,44113,2010,Stone
Milla Jovovich,44853,2000,The Claim
Milla Jovovich,52451,2011,The Three Musketeers
Milla Jovovich,71679,2012,Resident Evil: Retribution
Milla Jovovich,334074,2015,Survivor
Christopher George,27420,1981,Graduation Day
Peter Onorati,100975,1999,Just Looking
Ken Davis,8847,2008,Standard Operating Procedure
Reza Sixo Safai,60421,2011,Circumstance
Keenen Ivory Wayans,9625,1996,The Glimmer Man
Keenen Ivory Wayans,26352,1994,A Low Down Dirty Shame
Keenen Ivory Wayans,34101,1987,Hollywood Shuffle
Diane Kruger,1590,2006,Copying Beethoven
Diane Kruger,1874,2007,Goodbye Bafana
Diane Kruger,2059,2004,National Treasure
Diane Kruger,5353,2007,The Hunting Party
Diane Kruger,11208,2004,Wicker Park
Diane Kruger,11661,2005,Joyeux Noël
Diane Kruger,48138,2011,Unknown
Diane Kruger,72710,2013,The Host
Diane Kruger,133698,2012,Fly Me to the Moon
Diane Kruger,325789,2016,The Infiltrator
Martin Sheen,28,1979,Apocalypse Now
Martin Sheen,640,2002,Catch Me If You Can
Martin Sheen,1422,2006,The Departed
Martin Sheen,9087,1995,The American President
Martin Sheen,10336,1997,Spawn
Martin Sheen,10655,1993,Gettysburg
Martin Sheen,10673,1987,Wall Street
Martin Sheen,11065,2001,O
Martin Sheen,11336,1983,The Dead Zone
Martin Sheen,11495,1984,Firestarter
Martin Sheen,13508,2006,Who Killed the Electric Car?
Martin Sheen,25643,2009,Love Happens
Martin Sheen,271185,2014,Ask Me Anything
Jessica Lowndes,241254,2014,The Prince
Jessica Lowndes,360339,2015,Eden
Bernard Hill,9334,2002,The Scorpion King
Bernard Hill,11823,2004,Wimbledon
Garret Dillahunt,18405,2009,The Last House on the Left
Garret Dillahunt,39013,2010,Winter's Bone
Garret Dillahunt,72913,2010,Amigo
Dragomir Mrsic,29920,2010,Easy Money
David Bierend,41436,2010,Paranormal Activity 2
Michael Jeter,177,1991,The Fisher King
Michael Jeter,2055,2003,Open Range
Michael Jeter,5255,2004,The Polar Express
Michael Jeter,9260,2002,Welcome to Collinwood
Michael Jeter,10312,1998,Patch Adams
Michael Jeter,20737,1997,Air Bud
Kate Ashfield,747,2004,Shaun of the Dead
Kate Ashfield,50497,2012,When the Lights Went Out
Rob LaBelle,77883,2012,The Possession
Geraldine Chaplin,907,1965,Doctor Zhivago
Geraldine Chaplin,10436,1993,The Age of Innocence
Michael Parks,48572,2011,Red State
Michael Parks,246403,2014,Tusk
Cleopatra Coleman,287524,2014,Fear Clinic
Tommaso Puntelli,14283,1998,The Red Violin
Skye McCole Bartusiak,8968,2005,Boogeyman
Skye McCole Bartusiak,12103,2001,Don't Say a Word
Juan Carlos Hernández,23742,2010,Cop Out
Paul Hogan,9290,2001,Crocodile Dundee in Los Angeles
Paul Hogan,9396,1988,Crocodile Dundee II
Paul Hogan,9671,1986,Crocodile Dundee
Paul Hogan,36355,1996,Flipper
Lauren C. Mayhew,26673,2009,Frat Party
Emma Karwandy,13250,2007,Butterfly on a Wheel
Xiao Shen Yang,44555,2009,"A Woman, a Gun and a Noodle Shop"
Xiao Shen Yang,381902,2016,The Monkey King 2
Sigourney Weaver,348,1979,Alien
Sigourney Weaver,679,1986,Aliens
Sigourney Weaver,926,1999,Galaxy Quest
Sigourney Weaver,1710,1995,Copycat
Sigourney Weaver,6947,2004,The Village
Sigourney Weaver,7461,2008,Vantage Point
Sigourney Weaver,8077,1992,Alien³
Sigourney Weaver,8078,1997,Alien: Resurrection
Sigourney Weaver,8326,2003,Holes
Sigourney Weaver,8780,2008,Baby Mama
Sigourney Weaver,9092,1997,Snow White: A Tale of Terror
Sigourney Weaver,9672,2006,Infamous
Sigourney Weaver,10833,2001,Heartbreakers
Sigourney Weaver,19995,2009,Avatar
Sigourney Weaver,25350,2004,Imaginary Heroes
Sigourney Weaver,38303,2010,You Again
Sigourney Weaver,39141,2002,Tadpole
Sigourney Weaver,52067,2011,Cedar Rapids
Sigourney Weaver,68924,1997,The Ice Storm
Sigourney Weaver,73935,2012,Vamps
Sigourney Weaver,75638,2012,Red Lights
Sigourney Weaver,77948,2012,The Cold Light of Day
Béatrice Dalle,39851,2004,Clean
Brady Bluhm,100042,2014,Dumb and Dumber To
Stephen Collins,14429,1999,Drive Me Crazy
Ellen Block,79161,2006,51 Birch Street
Heather Litteer,10944,2003,In the Cut
